,Producto,Precio,Unidades Vendidas,Ciudad,Genero Comprador,Satisfacción Cliente,Tiempo de Envío (días),Total Ventas
2122,Laptop,68,72,Madrid,F,9,14,4896
2123,Laptop,1510,19,Madrid,F,2,4,28690
2124,Teclado,456,170,Madrid,F,5,3,77520
2125,Laptop,1770,108,Portugal,F,6,2,191160
2126,Laptop,1591,218,Barcelona,F,6,4,346838
2127,Smartphone,438,120,Barcelona,M,2,5,52560
2128,Monitor,901,90,Madrid,F,8,14,81090
2129,Mouse,1634,265,Barcelona,M,6,7,433010
2130,Mouse,1881,17,Madrid,M,4,9,31977
2131,Monitor,1857,134,Barcelona,F,8,13,248838
2132,Audifonos,1471,136,Barcelona,F,7,9,200056
2133,Smartphone,348,172,Valencia,M,1,11,59856
2134,Monitor,1109,223,Barcelona,M,7,2,247307
2135,Audifonos,1525,118,Valencia,M,5,14,179950
2136,Monitor,578,149,Barcelona,M,7,1,86122
2137,Teclado,1609,168,Madrid,F,1,7,270312
2138,Mouse,301,169,Portugal,F,1,8,50869
2139,Teclado,973,16,Portugal,F,9,9,15568
2140,Audifonos,680,134,Portugal,F,5,10,91120
2141,Laptop,615,293,Valencia,M,5,14,180195
2142,Audifonos,832,47,Madrid,M,7,6,39104
2143,Mouse,1426,149,Portugal,F,3,11,212474
2144,Monitor,652,98,Barcelona,M,9,9,63896
2145,Laptop,1486,166,Portugal,M,1,11,246676
2146,Monitor,892,120,Valencia,F,2,13,107040
2147,Smartphone,1001,136,Portugal,F,2,1,136136
2148,Teclado,817,250,Madrid,F,4,12,204250
2149,Monitor,951,137,Portugal,F,2,9,130287
2150,Teclado,679,168,Barcelona,M,5,2,114072
2151,Teclado,1745,67,Portugal,M,8,1,116915
2152,Laptop,880,87,Valencia,F,1,1,76560
2153,Audifonos,755,287,Valencia,F,1,14,216685
2154,Monitor,1480,6,Madrid,M,7,6,8880
2155,Smartphone,703,123,Barcelona,M,4,12,86469
2156,Teclado,1486,52,Valencia,F,5,13,77272
2157,Smartphone,1908,237,Madrid,F,7,14,452196
2158,Audifonos,1185,150,Barcelona,M,7,11,177750
2159,Teclado,1793,105,Valencia,F,6,6,188265
2160,Laptop,247,159,Madrid,M,1,7,39273
2161,Smartphone,407,84,Valencia,M,4,5,34188
2162,Laptop,206,148,Madrid,F,9,3,30488
2163,Teclado,1774,20,Portugal,F,9,3,35480
2164,Laptop,286,105,Portugal,M,5,1,30030
2165,Audifonos,878,205,Barcelona,F,4,5,179990
2166,Smartphone,76,166,Barcelona,M,6,7,12616
2167,Teclado,227,174,Madrid,F,2,8,39498
2168,Smartphone,1258,62,Valencia,M,7,8,77996
2169,Teclado,1039,84,Valencia,F,3,4,87276
2170,Monitor,174,295,Madrid,F,6,3,51330
2171,Monitor,239,108,Madrid,F,7,1,25812
2172,Mouse,170,15,Madrid,F,7,8,2550
2173,Audifonos,1859,161,Madrid,M,6,10,299299
2174,Monitor,1629,66,Madrid,M,4,8,107514
2175,Teclado,416,175,Portugal,M,5,14,72800
2176,Audifonos,708,95,Portugal,M,5,2,67260
2177,Teclado,711,29,Madrid,F,9,10,20619
2178,Monitor,1015,6,Barcelona,M,4,4,6090
2179,Smartphone,589,129,Valencia,F,6,14,75981
2180,Audifonos,1529,178,Madrid,M,2,13,272162
2181,Smartphone,1717,295,Portugal,M,4,11,506515
2182,Laptop,171,145,Portugal,M,6,5,24795
2183,Audifonos,332,299,Madrid,M,5,4,99268
2184,Laptop,1347,136,Barcelona,F,3,13,183192
2185,Teclado,475,16,Madrid,M,9,2,7600
2186,Monitor,620,176,Valencia,F,8,3,109120
2187,Laptop,804,210,Barcelona,M,8,2,168840
2188,Audifonos,1577,297,Valencia,M,7,5,468369
2189,Monitor,1703,153,Portugal,F,6,4,260559
2190,Smartphone,1689,95,Barcelona,M,4,5,160455
2191,Monitor,1712,207,Madrid,M,3,1,354384
2192,Laptop,215,125,Madrid,M,3,6,26875
2193,Mouse,1543,91,Valencia,F,4,6,140413
2194,Monitor,718,272,Barcelona,M,7,8,195296
2195,Smartphone,257,67,Portugal,F,8,8,17219
2196,Mouse,513,140,Madrid,M,5,14,71820
2197,Mouse,1363,262,Barcelona,M,5,6,357106
2198,Teclado,234,210,Portugal,F,7,3,49140
2199,Audifonos,982,135,Valencia,F,1,7,132570
2200,Smartphone,1187,118,Portugal,M,3,5,140066
2201,Laptop,876,217,Valencia,M,2,8,190092
2202,Teclado,413,50,Portugal,M,9,11,20650
2203,Smartphone,298,206,Barcelona,F,4,8,61388
2204,Smartphone,1197,195,Valencia,F,8,5,233415
2205,Mouse,656,104,Portugal,F,9,8,68224
2206,Mouse,102,256,Madrid,M,6,14,26112
2207,Smartphone,1573,108,Valencia,F,6,8,169884
2208,Teclado,1115,237,Barcelona,F,4,1,264255
2209,Audifonos,1554,164,Madrid,F,6,14,254856
2210,Monitor,1478,10,Portugal,F,8,7,14780
2211,Monitor,1279,274,Madrid,F,7,1,350446
2212,Monitor,1965,201,Portugal,F,4,4,394965
2213,Monitor,1326,150,Barcelona,F,5,7,198900
2214,Audifonos,163,186,Portugal,F,4,8,30318
2215,Laptop,1201,110,Barcelona,M,8,5,132110
2216,Smartphone,1777,116,Valencia,F,8,2,206132
2217,Smartphone,1556,139,Barcelona,F,6,9,216284
2218,Teclado,710,114,Valencia,M,8,2,80940
2219,Smartphone,1741,127,Madrid,F,3,8,221107
2220,Audifonos,1533,80,Madrid,F,2,6,122640
2221,Smartphone,1938,56,Madrid,F,1,11,108528
2222,Audifonos,1300,176,Portugal,M,2,12,228800
2223,Laptop,760,279,Barcelona,M,9,13,212040
2224,Smartphone,1608,180,Valencia,M,1,8,289440
2225,Mouse,1172,82,Valencia,F,1,11,96104
2226,Smartphone,80,214,Madrid,F,5,7,17120
2227,Teclado,316,164,Madrid,M,3,8,51824
2228,Teclado,697,238,Madrid,M,9,3,165886
2229,Monitor,1539,54,Barcelona,F,3,12,83106
2230,Teclado,1526,231,Valencia,M,7,6,352506
2231,Smartphone,452,162,Barcelona,F,6,6,73224
2232,Teclado,1539,164,Valencia,F,5,12,252396
2233,Teclado,1659,282,Valencia,F,5,14,467838
2234,Audifonos,1472,279,Barcelona,F,1,9,410688
2235,Teclado,1903,126,Valencia,M,5,9,239778
2236,Teclado,1429,12,Madrid,F,9,10,17148
2237,Mouse,783,273,Valencia,F,9,8,213759
2238,Smartphone,1249,25,Barcelona,M,7,2,31225
2239,Laptop,530,161,Portugal,F,3,8,85330
2240,Monitor,1485,280,Barcelona,F,5,6,415800
2241,Teclado,227,103,Barcelona,M,9,14,23381
2242,Smartphone,895,55,Valencia,F,9,13,49225
2243,Laptop,1533,93,Portugal,M,8,6,142569
2244,Monitor,1475,237,Madrid,F,9,13,349575
2245,Monitor,376,117,Madrid,F,9,6,43992
2246,Audifonos,522,187,Portugal,M,2,6,97614
2247,Teclado,1224,255,Barcelona,F,6,6,312120
2248,Smartphone,1549,52,Barcelona,M,4,1,80548
2249,Laptop,217,283,Valencia,M,6,8,61411
2250,Laptop,236,179,Portugal,M,3,3,42244
2251,Teclado,685,167,Madrid,M,1,10,114395
2252,Audifonos,1122,263,Barcelona,F,4,4,295086
2253,Audifonos,1325,187,Madrid,F,7,13,247775
2254,Teclado,1956,62,Madrid,M,3,13,121272
2255,Laptop,970,23,Valencia,M,3,4,22310
2256,Teclado,1134,126,Portugal,M,9,3,142884
2257,Audifonos,445,272,Barcelona,F,2,12,121040
2258,Mouse,1183,256,Barcelona,F,9,11,302848
2259,Monitor,679,168,Portugal,M,1,3,114072
2260,Mouse,836,247,Valencia,F,6,5,206492
2261,Audifonos,1685,213,Valencia,M,6,6,358905
2262,Laptop,1657,235,Barcelona,F,3,1,389395
2263,Monitor,1984,218,Barcelona,M,1,10,432512
2264,Smartphone,975,188,Madrid,M,5,8,183300
2265,Teclado,422,179,Madrid,M,3,7,75538
2266,Audifonos,1232,206,Madrid,F,8,1,253792
2267,Smartphone,527,29,Barcelona,F,7,6,15283
2268,Teclado,1710,210,Madrid,M,9,1,359100
2269,Audifonos,785,289,Madrid,M,3,14,226865
2270,Smartphone,1184,255,Portugal,F,9,2,301920
2271,Smartphone,770,227,Valencia,M,3,7,174790
2272,Monitor,103,85,Valencia,F,3,14,8755
2273,Audifonos,1328,174,Barcelona,F,2,13,231072
2274,Teclado,174,37,Portugal,M,8,14,6438
2275,Smartphone,1095,266,Valencia,M,3,1,291270
2276,Teclado,337,281,Portugal,M,1,3,94697
2277,Teclado,238,160,Barcelona,M,7,5,38080
2278,Teclado,143,237,Portugal,F,7,5,33891
2279,Audifonos,904,161,Madrid,F,3,11,145544
2280,Mouse,1500,183,Valencia,M,7,9,274500
2281,Monitor,1447,89,Barcelona,F,3,2,128783
2282,Monitor,543,155,Madrid,M,4,4,84165
2283,Laptop,1574,228,Valencia,M,5,14,358872
2284,Teclado,277,168,Portugal,M,5,1,46536
2285,Teclado,1327,166,Portugal,M,6,9,220282
2286,Laptop,1975,229,Barcelona,M,9,11,452275
2287,Teclado,271,244,Valencia,M,9,8,66124
2288,Smartphone,1405,239,Barcelona,F,9,3,335795
2289,Laptop,699,277,Barcelona,M,3,2,193623
2290,Teclado,1086,55,Portugal,F,9,4,59730
2291,Mouse,103,257,Valencia,F,6,12,26471
2292,Laptop,1085,73,Valencia,M,6,14,79205
2293,Mouse,1885,33,Portugal,M,3,6,62205
2294,Smartphone,217,232,Portugal,M,4,5,50344
2295,Laptop,936,14,Valencia,F,8,14,13104
2296,Teclado,1379,104,Barcelona,M,8,2,143416
2297,Mouse,789,226,Portugal,M,9,2,178314
2298,Smartphone,1463,57,Barcelona,M,6,2,83391
2299,Laptop,1522,23,Madrid,M,3,14,35006
2300,Teclado,382,280,Barcelona,M,1,14,106960
2301,Mouse,1592,275,Madrid,F,6,8,437800
2302,Laptop,1356,135,Barcelona,F,5,12,183060
2303,Mouse,978,168,Portugal,F,7,7,164304
2304,Teclado,1621,123,Valencia,F,1,4,199383
2305,Mouse,207,132,Madrid,M,3,14,27324
2306,Smartphone,1261,123,Barcelona,M,2,10,155103
2307,Teclado,340,47,Madrid,M,9,8,15980
2308,Teclado,1843,296,Barcelona,F,3,1,545528
2309,Teclado,1642,191,Madrid,M,1,5,313622
2310,Mouse,1477,281,Portugal,M,9,10,415037
2311,Laptop,1780,226,Madrid,M,8,12,402280
2312,Mouse,1895,42,Valencia,M,1,3,79590
2313,Smartphone,474,28,Barcelona,M,8,13,13272
2314,Smartphone,1903,266,Portugal,M,8,5,506198
2315,Audifonos,379,182,Madrid,F,3,4,68978
2316,Teclado,1700,129,Madrid,M,7,2,219300
2317,Smartphone,660,261,Madrid,M,3,3,172260
2318,Smartphone,858,144,Barcelona,F,8,5,123552
2319,Audifonos,363,198,Madrid,F,7,12,71874
2320,Smartphone,1120,108,Valencia,M,4,8,120960
2321,Teclado,230,250,Portugal,M,9,7,57500
2322,Monitor,1669,212,Madrid,M,2,12,353828
2323,Smartphone,1642,144,Madrid,M,4,1,236448
2324,Monitor,990,220,Portugal,F,4,6,217800
2325,Laptop,1178,189,Madrid,M,6,8,222642
2326,Mouse,1574,97,Valencia,F,8,13,152678
2327,Monitor,357,38,Valencia,M,9,8,13566
2328,Monitor,1859,226,Madrid,F,4,3,420134
2329,Teclado,1797,193,Barcelona,F,3,1,346821
2330,Smartphone,339,149,Valencia,M,4,12,50511
2331,Audifonos,74,14,Madrid,F,8,14,1036
2332,Mouse,671,238,Madrid,F,8,14,159698
2333,Monitor,1618,254,Barcelona,M,3,7,410972
2334,Laptop,1367,11,Valencia,F,4,14,15037
2335,Laptop,1663,158,Portugal,M,8,4,262754
2336,Monitor,340,64,Portugal,F,6,13,21760
2337,Teclado,239,233,Madrid,F,5,2,55687
2338,Audifonos,523,204,Barcelona,F,5,7,106692
2339,Audifonos,910,173,Madrid,F,8,11,157430
2340,Audifonos,778,177,Portugal,F,3,5,137706
2341,Monitor,1854,250,Portugal,F,2,7,463500
2342,Smartphone,317,112,Valencia,F,1,14,35504
2343,Mouse,853,43,Barcelona,M,2,12,36679
2344,Monitor,1346,93,Madrid,M,9,8,125178
2345,Smartphone,702,214,Portugal,F,9,2,150228
2346,Mouse,937,114,Barcelona,F,6,9,106818
2347,Teclado,1333,266,Portugal,M,5,13,354578
2348,Mouse,1762,48,Portugal,F,6,14,84576
2349,Laptop,1891,259,Barcelona,F,6,5,489769
2350,Teclado,1127,40,Madrid,F,9,9,45080
2351,Smartphone,1540,161,Madrid,F,5,9,247940
2352,Smartphone,174,198,Valencia,M,3,2,34452
2353,Monitor,1539,76,Valencia,M,9,6,116964
2354,Monitor,61,79,Valencia,M,3,10,4819
2355,Teclado,90,102,Valencia,M,4,1,9180
2356,Teclado,1534,53,Portugal,F,4,5,81302
2357,Laptop,1100,112,Valencia,F,8,14,123200
2358,Laptop,592,29,Madrid,F,7,12,17168
2359,Mouse,248,138,Barcelona,M,3,1,34224
2360,Monitor,1856,270,Madrid,M,5,8,501120
2361,Smartphone,1625,113,Barcelona,M,1,1,183625
2362,Laptop,172,80,Portugal,M,7,10,13760
2363,Laptop,205,103,Valencia,F,2,4,21115
2364,Teclado,707,23,Valencia,M,8,6,16261
2365,Audifonos,520,154,Valencia,F,1,4,80080
2366,Monitor,1300,253,Barcelona,F,1,1,328900
2367,Monitor,1501,39,Madrid,F,4,10,58539
2368,Mouse,1795,11,Valencia,M,9,6,19745
2369,Monitor,1356,59,Portugal,F,5,13,80004
2370,Monitor,900,44,Madrid,F,1,6,39600
2371,Teclado,1293,253,Portugal,F,9,12,327129
2372,Teclado,1137,238,Barcelona,F,8,6,270606
2373,Mouse,863,115,Valencia,M,7,5,99245
2374,Mouse,146,65,Barcelona,F,7,5,9490
2375,Laptop,1367,56,Portugal,F,1,5,76552
2376,Laptop,914,142,Madrid,M,9,5,129788
2377,Smartphone,1009,157,Barcelona,M,7,11,158413
2378,Monitor,574,50,Portugal,F,1,11,28700
2379,Monitor,1147,236,Barcelona,M,2,1,270692
2380,Monitor,293,241,Barcelona,M,5,8,70613
2381,Monitor,1375,226,Barcelona,F,2,4,310750
2382,Mouse,1812,9,Barcelona,M,9,9,16308
2383,Laptop,1381,292,Portugal,M,4,11,403252
2384,Smartphone,734,262,Portugal,M,2,12,192308
2385,Laptop,1728,99,Portugal,M,4,9,171072
2386,Mouse,158,248,Madrid,F,6,10,39184
2387,Smartphone,1241,70,Barcelona,F,7,3,86870
2388,Mouse,569,148,Madrid,M,1,4,84212
2389,Smartphone,1687,123,Barcelona,M,9,14,207501
2390,Monitor,1797,153,Portugal,F,1,6,274941
2391,Laptop,294,119,Madrid,F,5,1,34986
2392,Smartphone,1992,14,Valencia,M,4,3,27888
2393,Laptop,873,60,Valencia,F,7,3,52380
2394,Laptop,219,273,Valencia,M,8,12,59787
2395,Laptop,223,256,Barcelona,M,7,9,57088
2396,Mouse,163,218,Valencia,F,1,2,35534
2397,Audifonos,879,49,Valencia,F,7,14,43071
2398,Laptop,1755,274,Portugal,M,9,10,480870
2399,Mouse,480,15,Portugal,F,6,10,7200
2400,Teclado,655,180,Valencia,M,5,3,117900
2401,Smartphone,342,246,Portugal,M,8,3,84132
2402,Smartphone,1663,80,Madrid,M,2,13,133040
2403,Monitor,1239,37,Barcelona,M,6,13,45843
2404,Laptop,622,202,Madrid,F,8,7,125644
2405,Smartphone,990,222,Barcelona,M,4,9,219780
2406,Mouse,481,250,Barcelona,F,6,8,120250
2407,Teclado,1901,246,Madrid,M,8,13,467646
2408,Teclado,1065,74,Portugal,F,7,6,78810
2409,Teclado,1977,6,Barcelona,F,3,5,11862
2410,Audifonos,1763,234,Portugal,F,4,7,412542
2411,Teclado,1098,229,Portugal,M,3,1,251442
2412,Audifonos,1390,273,Madrid,F,8,1,379470
2413,Monitor,780,114,Barcelona,M,2,10,88920
2414,Teclado,1833,54,Valencia,M,9,3,98982
2415,Teclado,563,190,Barcelona,M,2,5,106970
2416,Smartphone,1536,16,Madrid,M,7,1,24576
2417,Laptop,1725,246,Madrid,F,3,9,424350
2418,Smartphone,672,1,Portugal,M,5,6,672
2419,Audifonos,1651,120,Barcelona,F,1,5,198120
2420,Mouse,986,56,Barcelona,F,5,14,55216
2421,Smartphone,351,295,Barcelona,M,5,8,103545
2422,Mouse,939,41,Portugal,F,7,3,38499
2423,Smartphone,220,182,Portugal,F,3,6,40040
2424,Mouse,1640,82,Madrid,F,7,6,134480
2425,Monitor,1360,200,Portugal,F,9,6,272000
2426,Audifonos,955,46,Portugal,F,4,13,43930
2427,Laptop,239,24,Barcelona,M,8,1,5736
2428,Audifonos,900,11,Madrid,M,5,4,9900
2429,Mouse,1387,263,Madrid,F,8,9,364781
2430,Laptop,1214,148,Barcelona,M,6,13,179672
2431,Smartphone,1236,135,Portugal,F,4,13,166860
2432,Monitor,71,132,Barcelona,M,8,2,9372
2433,Mouse,1246,145,Madrid,F,4,9,180670
2434,Laptop,1627,67,Portugal,F,8,9,109009
2435,Laptop,1913,149,Barcelona,F,1,14,285037
2436,Teclado,416,113,Portugal,F,9,8,47008
2437,Smartphone,1473,298,Portugal,F,1,10,438954
2438,Monitor,1983,204,Portugal,F,8,14,404532
2439,Monitor,1239,147,Barcelona,M,8,8,182133
2440,Mouse,897,288,Portugal,M,6,6,258336
2441,Monitor,1524,103,Barcelona,F,6,2,156972
2442,Laptop,1516,241,Valencia,F,5,2,365356
2443,Smartphone,1248,101,Portugal,F,5,6,126048
2444,Smartphone,640,55,Barcelona,F,9,12,35200
2445,Smartphone,458,140,Portugal,F,5,8,64120
2446,Monitor,510,99,Valencia,M,2,12,50490
2447,Teclado,894,121,Portugal,F,2,12,108174
2448,Teclado,1775,158,Madrid,F,3,4,280450
2449,Mouse,1934,19,Madrid,M,6,13,36746
2450,Mouse,1070,278,Barcelona,F,9,10,297460
2451,Laptop,1553,90,Barcelona,M,3,13,139770
2452,Audifonos,1537,72,Valencia,F,3,10,110664
2453,Laptop,1990,254,Madrid,M,8,13,505460
2454,Smartphone,502,205,Portugal,F,8,1,102910
2455,Teclado,1644,51,Barcelona,M,5,11,83844
2456,Teclado,500,217,Portugal,M,5,9,108500
2457,Mouse,1198,120,Valencia,M,5,10,143760
2458,Monitor,1205,203,Madrid,M,1,3,244615
2459,Laptop,771,62,Madrid,F,6,3,47802
2460,Mouse,800,239,Valencia,M,1,4,191200
2461,Smartphone,1150,131,Barcelona,M,7,6,150650
2462,Audifonos,1734,199,Portugal,M,6,3,345066
2463,Smartphone,1792,254,Barcelona,F,2,9,455168
2464,Laptop,1485,109,Portugal,F,1,12,161865
2465,Audifonos,811,158,Barcelona,F,2,5,128138
2466,Smartphone,1284,40,Portugal,M,4,1,51360
2467,Mouse,826,216,Valencia,F,6,5,178416
2468,Teclado,1060,25,Valencia,M,2,7,26500
2469,Teclado,196,6,Portugal,F,9,2,1176
2470,Teclado,1148,155,Barcelona,F,4,14,177940
2471,Teclado,1438,85,Barcelona,M,5,2,122230
2472,Teclado,696,3,Portugal,F,8,2,2088
2473,Smartphone,843,168,Barcelona,M,3,10,141624
2474,Laptop,224,232,Barcelona,F,9,13,51968
2475,Laptop,425,79,Madrid,M,1,12,33575
2476,Teclado,153,86,Portugal,M,2,12,13158
2477,Laptop,1075,29,Valencia,M,8,11,31175
2478,Monitor,1163,113,Madrid,M,9,11,131419
2479,Audifonos,1384,177,Valencia,F,3,14,244968
2480,Audifonos,757,273,Madrid,M,6,5,206661
2481,Monitor,948,36,Valencia,M,6,9,34128
2482,Mouse,1675,295,Madrid,F,9,5,494125
2483,Audifonos,535,231,Valencia,F,6,10,123585
2484,Audifonos,1940,59,Madrid,F,2,7,114460
2485,Audifonos,1569,248,Valencia,M,7,4,389112
2486,Laptop,522,231,Valencia,M,2,10,120582
2487,Mouse,1437,242,Madrid,M,3,4,347754
2488,Monitor,1839,78,Madrid,M,7,2,143442
2489,Teclado,57,23,Barcelona,F,4,5,1311
2490,Mouse,1389,133,Madrid,M,4,2,184737
2491,Monitor,1702,263,Valencia,M,5,14,447626
2492,Monitor,1176,295,Valencia,F,3,4,346920
2493,Teclado,697,192,Portugal,M,2,12,133824
2494,Smartphone,1038,285,Barcelona,M,2,14,295830
2495,Smartphone,1400,184,Madrid,F,1,13,257600
2496,Audifonos,459,61,Valencia,F,1,10,27999
2497,Laptop,568,63,Madrid,F,3,4,35784
2498,Audifonos,597,207,Barcelona,M,2,9,123579
2499,Teclado,1561,73,Barcelona,F,5,8,113953
2500,Teclado,1659,113,Portugal,M,8,8,187467
2501,Mouse,1897,274,Portugal,M,4,10,519778
2502,Mouse,1286,284,Madrid,M,6,4,365224
2503,Teclado,1391,269,Valencia,M,9,4,374179
2504,Teclado,1495,224,Madrid,M,1,14,334880
2505,Audifonos,97,131,Valencia,M,4,8,12707
2506,Monitor,237,251,Madrid,M,8,7,59487
2507,Mouse,1689,103,Barcelona,M,2,10,173967
2508,Mouse,777,2,Portugal,M,1,5,1554
2509,Audifonos,1610,42,Valencia,M,2,9,67620
2510,Laptop,942,232,Barcelona,F,4,14,218544
2511,Teclado,1927,262,Madrid,F,6,6,504874
2512,Monitor,1616,188,Portugal,M,6,5,303808
2513,Teclado,1688,94,Madrid,M,9,9,158672
2514,Smartphone,487,266,Portugal,M,4,7,129542
2515,Laptop,1138,80,Portugal,F,9,13,91040
2516,Teclado,72,283,Valencia,M,8,13,20376
2517,Audifonos,921,30,Valencia,F,4,7,27630
2518,Laptop,639,36,Portugal,M,4,7,23004
2519,Monitor,1773,260,Madrid,M,1,7,460980
2520,Monitor,1390,236,Barcelona,F,6,14,328040
2521,Teclado,290,153,Valencia,M,1,5,44370
2522,Audifonos,88,36,Portugal,F,6,8,3168
2523,Laptop,992,216,Madrid,F,5,9,214272
2524,Mouse,1472,51,Barcelona,M,2,12,75072
2525,Monitor,592,178,Valencia,M,7,1,105376
2526,Audifonos,1556,208,Valencia,M,1,8,323648
2527,Smartphone,1617,53,Valencia,M,6,10,85701
2528,Laptop,252,144,Madrid,F,8,7,36288
2529,Audifonos,187,157,Madrid,M,5,5,29359
2530,Laptop,828,222,Madrid,F,6,13,183816
2531,Laptop,960,7,Valencia,F,4,13,6720
2532,Mouse,1220,154,Barcelona,M,8,5,187880
2533,Mouse,1131,288,Valencia,F,3,10,325728
2534,Laptop,495,182,Valencia,F,5,14,90090
2535,Laptop,1949,86,Portugal,M,7,12,167614
2536,Teclado,849,66,Barcelona,F,2,6,56034
2537,Monitor,1269,277,Valencia,F,7,10,351513
2538,Mouse,1044,292,Portugal,F,8,1,304848
2539,Smartphone,356,10,Portugal,M,9,8,3560
2540,Laptop,944,196,Portugal,M,4,7,185024
2541,Audifonos,1110,145,Portugal,M,4,5,160950
2542,Teclado,1968,143,Madrid,F,1,11,281424
2543,Teclado,1326,271,Portugal,F,2,12,359346
2544,Teclado,1364,299,Valencia,F,3,6,407836
2545,Mouse,1654,7,Portugal,M,7,5,11578
2546,Monitor,1218,170,Madrid,F,6,4,207060
2547,Audifonos,1591,264,Madrid,F,8,4,420024
2548,Laptop,990,148,Madrid,M,7,1,146520
2549,Teclado,619,180,Valencia,M,4,2,111420
2550,Mouse,985,258,Valencia,F,6,11,254130
2551,Smartphone,872,194,Valencia,F,5,8,169168
2552,Audifonos,403,15,Valencia,M,5,8,6045
2553,Audifonos,147,87,Barcelona,F,1,2,12789
2554,Audifonos,571,194,Barcelona,F,9,6,110774
2555,Monitor,1313,147,Valencia,F,4,5,193011
2556,Audifonos,1910,201,Valencia,M,7,9,383910
2557,Smartphone,950,49,Valencia,F,2,6,46550
2558,Smartphone,1352,67,Portugal,F,9,10,90584
2559,Monitor,1157,214,Valencia,M,7,14,247598
2560,Audifonos,1317,286,Portugal,F,2,4,376662
2561,Monitor,865,58,Portugal,M,7,4,50170
2562,Teclado,1937,154,Valencia,M,9,12,298298
2563,Monitor,797,291,Madrid,F,2,14,231927
2564,Laptop,1791,201,Barcelona,F,4,4,359991
2565,Mouse,479,127,Madrid,F,1,12,60833
2566,Mouse,1956,299,Madrid,M,9,9,584844
2567,Laptop,1687,190,Portugal,M,6,3,320530
2568,Audifonos,1900,233,Portugal,F,1,10,442700
2569,Mouse,723,19,Madrid,M,6,2,13737
2570,Laptop,684,159,Portugal,F,3,9,108756
2571,Mouse,1855,43,Portugal,M,6,14,79765
2572,Monitor,1733,274,Barcelona,M,2,5,474842
2573,Audifonos,1758,251,Barcelona,M,1,2,441258
2574,Laptop,1441,193,Barcelona,F,1,8,278113
2575,Teclado,1411,131,Barcelona,M,6,5,184841
2576,Monitor,505,263,Barcelona,M,3,11,132815
2577,Audifonos,257,274,Barcelona,M,8,1,70418
2578,Audifonos,1922,146,Madrid,F,7,8,280612
2579,Monitor,1331,61,Portugal,F,6,5,81191
2580,Monitor,166,187,Valencia,M,2,5,31042
2581,Smartphone,546,99,Valencia,M,9,6,54054
2582,Audifonos,885,190,Portugal,F,7,8,168150
2583,Laptop,1346,29,Valencia,M,3,7,39034
2584,Mouse,515,206,Madrid,F,1,4,106090
2585,Smartphone,1245,63,Valencia,M,3,13,78435
2586,Smartphone,119,291,Barcelona,F,8,3,34629
2587,Monitor,329,271,Valencia,M,5,8,89159
2588,Smartphone,1592,104,Barcelona,M,8,14,165568
2589,Teclado,931,27,Valencia,M,3,6,25137
2590,Monitor,1330,178,Valencia,M,1,3,236740
2591,Monitor,464,262,Valencia,M,6,3,121568
2592,Laptop,688,59,Madrid,M,3,6,40592
2593,Monitor,1036,50,Portugal,F,2,11,51800
2594,Mouse,116,19,Portugal,M,3,10,2204
2595,Smartphone,449,136,Madrid,F,6,10,61064
2596,Monitor,70,167,Madrid,F,7,11,11690
2597,Teclado,125,273,Madrid,F,6,1,34125
2598,Smartphone,990,131,Portugal,M,7,3,129690
2599,Monitor,554,98,Madrid,M,2,7,54292
2600,Teclado,862,160,Portugal,F,7,8,137920
2601,Mouse,937,276,Barcelona,M,9,4,258612
2602,Monitor,134,85,Barcelona,F,7,10,11390
2603,Monitor,1259,258,Valencia,M,6,12,324822
2604,Teclado,1864,23,Portugal,F,5,10,42872
2605,Monitor,294,266,Barcelona,M,6,5,78204
2606,Teclado,296,235,Portugal,M,1,10,69560
2607,Teclado,1864,183,Valencia,F,3,9,341112
2608,Teclado,1032,290,Barcelona,F,1,5,299280
2609,Teclado,693,109,Madrid,F,6,1,75537
2610,Smartphone,1968,240,Barcelona,F,7,6,472320
2611,Audifonos,1083,194,Barcelona,F,6,14,210102
2612,Audifonos,464,26,Portugal,M,5,7,12064
2613,Monitor,1619,216,Portugal,M,9,5,349704
2614,Audifonos,1478,80,Madrid,M,2,13,118240
2615,Audifonos,593,276,Barcelona,F,1,8,163668
2616,Audifonos,1517,128,Madrid,M,8,5,194176
2617,Audifonos,1388,261,Valencia,F,5,12,362268
2618,Laptop,418,190,Barcelona,F,6,9,79420
2619,Laptop,871,1,Barcelona,M,9,13,871
2620,Mouse,409,140,Valencia,F,6,10,57260
2621,Laptop,560,96,Portugal,M,6,3,53760
2622,Mouse,1977,70,Valencia,F,2,3,138390
2623,Smartphone,844,175,Barcelona,F,9,3,147700
2624,Monitor,557,266,Barcelona,M,7,8,148162
2625,Smartphone,1109,155,Madrid,M,5,3,171895
2626,Monitor,1137,162,Valencia,M,2,13,184194
2627,Mouse,309,289,Valencia,M,1,7,89301
2628,Audifonos,1437,146,Valencia,F,5,14,209802
2629,Smartphone,268,210,Madrid,F,6,8,56280
2630,Laptop,1958,284,Valencia,M,1,3,556072
2631,Mouse,260,152,Portugal,F,3,9,39520
2632,Audifonos,325,209,Valencia,F,4,3,67925
2633,Mouse,409,205,Madrid,F,8,5,83845
2634,Laptop,794,91,Barcelona,M,8,12,72254
2635,Mouse,1324,96,Madrid,F,1,3,127104
